Número do contrato,Data de assinatura do contrato,Valor do contrato,Duração do contrato,Nome da empresa ou fornecedor contratado,Nome da agência governamental,Valor total do contrato,Valor pago até o momento,Valor a ser pago no futuro,Data de pagamento de parcelas,Latitude,Longitude,Região,Estado,Histórico de Pagamentos
9746,2022-04-12,35271.17,4,Rezende,Ministério das Relações Exteriores,35271.17,378.46,74.29999999999927,"[datetime.date(2025, 8, 5), datetime.date(2023, 2, 23), datetime.date(2023, 12, 21), datetime.date(2022, 8, 16)]",-19.9102,-43.9266,Sudeste,MG,"[{'Data Pagamento': datetime.date(2025, 8, 5), 'Valor': 4192.05}, {'Data Pagamento': datetime.date(2023, 2, 23), 'Valor': 21235.36}, {'Data Pagamento': datetime.date(2023, 12, 21), 'Valor': 7949.21}, {'Data Pagamento': datetime.date(2022, 8, 16), 'Valor': 1441.79}]"
8344,2022-01-29,38227.55,5,Carvalho,Ministério da Educação,38227.55,29825.65,4.15000000000143,"[datetime.date(2026, 12, 22), datetime.date(2026, 7, 23), datetime.date(2024, 10, 5), datetime.date(2023, 4, 5), datetime.date(2024, 1, 25)]",-15.7801,-47.9292,Centro-Oeste,DF,"[{'Data Pagamento': datetime.date(2026, 12, 22), 'Valor': 6392.75}, {'Data Pagamento': datetime.date(2026, 7, 23), 'Valor': 1156.96}, {'Data Pagamento': datetime.date(2024, 10, 5), 'Valor': 668.27}, {'Data Pagamento': datetime.date(2023, 4, 5), 'Valor': 177.68}, {'Data Pagamento': datetime.date(2024, 1, 25), 'Valor': 2.09}]"
4105,2019-06-07,46431.08,5,Souza,Ministério da Economia,46431.08,12404.33,53.95999999999901,"[datetime.date(2023, 8, 3), datetime.date(2021, 6, 16), datetime.date(2023, 1, 23), datetime.date(2019, 7, 13), datetime.date(2020, 12, 13)]",-5.79447,-35.211,Nordeste,RN,"[{'Data Pagamento': datetime.date(2023, 8, 3), 'Valor': 19449.49}, {'Data Pagamento': datetime.date(2021, 6, 16), 'Valor': 8027.9}, {'Data Pagamento': datetime.date(2023, 1, 23), 'Valor': 947.73}, {'Data Pagamento': datetime.date(2019, 7, 13), 'Valor': 5163.05}, {'Data Pagamento': datetime.date(2020, 12, 13), 'Valor': 384.62}]"
7174,2019-12-20,25741.92,3,da Cruz - ME,"Ministério da Agricultura, Pecuária e Abastecimento",25741.92,1484.49,663.4399999999976,"[datetime.date(2022, 5, 1), datetime.date(2021, 9, 30), datetime.date(2022, 2, 5)]",-8.76077,-63.8999,Norte,RO,"[{'Data Pagamento': datetime.date(2022, 5, 1), 'Valor': 22131.96}, {'Data Pagamento': datetime.date(2021, 9, 30), 'Valor': 812.53}, {'Data Pagamento': datetime.date(2022, 2, 5), 'Valor': 649.5}]"
2063,2023-03-08,13675.82,5,da Cruz,Ministério do Meio Ambiente,13675.82,12852.44,33.98999999999915,"[datetime.date(2023, 3, 23), datetime.date(2026, 7, 26), datetime.date(2024, 9, 5), datetime.date(2024, 9, 13), datetime.date(2024, 3, 18)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2023, 3, 23), 'Valor': 640.96}, {'Data Pagamento': datetime.date(2026, 7, 26), 'Valor': 50.36}, {'Data Pagamento': datetime.date(2024, 9, 5), 'Valor': 45.2}, {'Data Pagamento': datetime.date(2024, 9, 13), 'Valor': 47.55}, {'Data Pagamento': datetime.date(2024, 3, 18), 'Valor': 5.32}]"
5192,2020-07-18,14862.55,5,Pereira,Ministério do Desenvolvimento Regional,14862.55,7976.79,345.42999999999876,"[datetime.date(2023, 10, 8), datetime.date(2023, 12, 22), datetime.date(2025, 3, 4), datetime.date(2024, 1, 20), datetime.date(2022, 11, 6)]",-8.04756,-34.877,Nordeste,PE,"[{'Data Pagamento': datetime.date(2023, 10, 8), 'Valor': 5429.27}, {'Data Pagamento': datetime.date(2023, 12, 22), 'Valor': 598.21}, {'Data Pagamento': datetime.date(2025, 3, 4), 'Valor': 186.2}, {'Data Pagamento': datetime.date(2024, 1, 20), 'Valor': 261.22}, {'Data Pagamento': datetime.date(2022, 11, 6), 'Valor': 65.43}]"
8068,2019-01-31,44676.55,1,das Neves,Ministério da Saúde,44676.55,8766.35,31165.890000000003,"[datetime.date(2019, 3, 12)]",-16.6864,-49.2643,Centro-Oeste,GO,"[{'Data Pagamento': datetime.date(2019, 3, 12), 'Valor': 4744.31}]"
3477,2019-11-22,28301.35,5,Castro Campos S/A,Ministério da Educação,28301.35,26182.52,1.5299999999982923,"[datetime.date(2020, 6, 21), datetime.date(2022, 6, 29), datetime.date(2023, 4, 5), datetime.date(2020, 2, 27), datetime.date(2020, 2, 7)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2020, 6, 21), 'Valor': 643.62}, {'Data Pagamento': datetime.date(2022, 6, 29), 'Valor': 805.66}, {'Data Pagamento': datetime.date(2023, 4, 5), 'Valor': 528.92}, {'Data Pagamento': datetime.date(2020, 2, 27), 'Valor': 123.08}, {'Data Pagamento': datetime.date(2020, 2, 7), 'Valor': 16.02}]"
8732,2021-12-07,30661.86,5,Campos,Ministério da Justiça,30661.86,7187.78,2.9100000000001547,"[datetime.date(2026, 9, 14), datetime.date(2026, 5, 27), datetime.date(2025, 10, 7), datetime.date(2022, 1, 22), datetime.date(2025, 9, 25)]",-20.4486,-54.6295,Centro-Oeste,MS,"[{'Data Pagamento': datetime.date(2026, 9, 14), 'Valor': 18481.24}, {'Data Pagamento': datetime.date(2026, 5, 27), 'Valor': 3648.81}, {'Data Pagamento': datetime.date(2025, 10, 7), 'Valor': 729.07}, {'Data Pagamento': datetime.date(2022, 1, 22), 'Valor': 611.63}, {'Data Pagamento': datetime.date(2025, 9, 25), 'Valor': 0.42}]"
6283,2019-08-15,27424.78,2,Lima Ribeiro - EI,"Ministério da Agricultura, Pecuária e Abastecimento",27424.78,10966.24,498.78000000000156,"[datetime.date(2019, 9, 22), datetime.date(2020, 4, 23)]",-25.4195,-49.2646,Sul,PR,"[{'Data Pagamento': datetime.date(2019, 9, 22), 'Valor': 10135.88}, {'Data Pagamento': datetime.date(2020, 4, 23), 'Valor': 5823.88}]"
5202,2022-05-11,18454.28,2,Silva Rezende S.A.,Ministério da Defesa,18454.28,2338.03,4709.1799999999985,"[datetime.date(2024, 1, 20), datetime.date(2022, 7, 22)]",-2.53874,-44.2825,Nordeste,MA,"[{'Data Pagamento': datetime.date(2024, 1, 20), 'Valor': 3895.39}, {'Data Pagamento': datetime.date(2022, 7, 22), 'Valor': 7511.68}]"
7305,2022-06-24,40454.5,5,Mendes Ramos S/A,Ministério da Educação,40454.5,936.61,188.84,"[datetime.date(2027, 2, 8), datetime.date(2025, 8, 8), datetime.date(2022, 6, 26), datetime.date(2026, 10, 13), datetime.date(2026, 9, 15)]",-12.9714,-38.5014,Nordeste,BA,"[{'Data Pagamento': datetime.date(2027, 2, 8), 'Valor': 23511.82}, {'Data Pagamento': datetime.date(2025, 8, 8), 'Valor': 10741.06}, {'Data Pagamento': datetime.date(2022, 6, 26), 'Valor': 3419.11}, {'Data Pagamento': datetime.date(2026, 10, 13), 'Valor': 1476.91}, {'Data Pagamento': datetime.date(2026, 9, 15), 'Valor': 180.15}]"
9744,2020-02-08,11852.63,1,Viana da Conceição Ltda.,Ministério da Saúde,11852.63,7097.57,4338.889999999999,"[datetime.date(2020, 10, 28)]",-23.5505,-46.6333,Sudeste,SP,"[{'Data Pagamento': datetime.date(2020, 10, 28), 'Valor': 416.17}]"
3747,2023-09-18,15202.28,1,Mendes Almeida S/A,Ministério da Educação,15202.28,12603.23,2563.650000000001,"[datetime.date(2024, 4, 16)]",2.82185,-60.6715,Norte,RR,"[{'Data Pagamento': datetime.date(2024, 4, 16), 'Valor': 35.4}]"
4251,2021-01-25,23297.75,2,Lima,Ministério do Desenvolvimento Regional,23297.75,7989.9,1934.8200000000006,"[datetime.date(2021, 8, 11), datetime.date(2021, 4, 8)]",-15.601,-56.0974,Centro-Oeste,MT,"[{'Data Pagamento': datetime.date(2021, 8, 11), 'Valor': 8023.09}, {'Data Pagamento': datetime.date(2021, 4, 8), 'Valor': 5349.94}]"
2908,2020-04-12,21927.4,2,da Costa Azevedo - ME,Ministério da Economia,21927.4,4930.12,397.46000000000276,"[datetime.date(2021, 2, 28), datetime.date(2020, 5, 8)]",-25.4195,-49.2646,Sul,PR,"[{'Data Pagamento': datetime.date(2021, 2, 28), 'Valor': 3851.59}, {'Data Pagamento': datetime.date(2020, 5, 8), 'Valor': 12748.23}]"
7126,2020-12-21,40913.02,5,Fogaça,Ministério do Meio Ambiente,40913.02,19658.22,108.99999999999557,"[datetime.date(2021, 9, 14), datetime.date(2025, 8, 3), datetime.date(2024, 3, 23), datetime.date(2021, 9, 23), datetime.date(2024, 2, 5)]",-10.9472,-37.0731,Nordeste,SE,"[{'Data Pagamento': datetime.date(2021, 9, 14), 'Valor': 14997.08}, {'Data Pagamento': datetime.date(2025, 8, 3), 'Valor': 128.05}, {'Data Pagamento': datetime.date(2024, 3, 23), 'Valor': 5596.29}, {'Data Pagamento': datetime.date(2021, 9, 23), 'Valor': 209.27}, {'Data Pagamento': datetime.date(2024, 2, 5), 'Valor': 215.11}]"
5023,2019-01-05,32991.58,1,da Mota,Ministério da Economia,32991.58,4459.45,8527.580000000002,"[datetime.date(2019, 2, 23)]",-10.2128,-48.3607,Norte,TO,"[{'Data Pagamento': datetime.date(2019, 2, 23), 'Valor': 20004.55}]"
4389,2022-03-22,45111.68,3,Moura,Ministério da Educação,45111.68,44954.83,24.29999999999854,"[datetime.date(2023, 4, 17), datetime.date(2023, 6, 11), datetime.date(2023, 7, 25)]",-5.09194,-42.8034,Nordeste,PI,"[{'Data Pagamento': datetime.date(2023, 4, 17), 'Valor': 9.16}, {'Data Pagamento': datetime.date(2023, 6, 11), 'Valor': 94.79}, {'Data Pagamento': datetime.date(2023, 7, 25), 'Valor': 28.6}]"
8809,2023-07-31,10323.89,4,da Mota,Ministério da Justiça,10323.89,4737.4,417.8699999999993,"[datetime.date(2025, 10, 7), datetime.date(2026, 8, 10), datetime.date(2024, 11, 17), datetime.date(2025, 4, 1)]",-7.11509,-34.8641,Nordeste,PB,"[{'Data Pagamento': datetime.date(2025, 10, 7), 'Valor': 1696.43}, {'Data Pagamento': datetime.date(2026, 8, 10), 'Valor': 1484.3}, {'Data Pagamento': datetime.date(2024, 11, 17), 'Valor': 1004.74}, {'Data Pagamento': datetime.date(2025, 4, 1), 'Valor': 983.15}]"
